Indice;Data de Referencia;Numero Indice;Variacao Diaria (%);Variacao no Mes (%);Variacao no Ano (%);Variacao 12 Meses (%);Variacao 24 Meses (%);Duration (d.u.);PMR
IMA-B;2022-10-20;8542,197963;0,0794;0,3002;6,439;8,8387;11,5453;1685,0;1685,0
IMA-B;2022-10-21;8563,580933;0,2503;0,5513;6,7054;9,7406;11,7815;1689,0;1689,0
IMA-B;2022-10-24;8542,471839;-0,2465;0,3034;6,4424;9,6866;12,076;1681,0;1681,0
IMA-B;2022-10-25;8542,652847;0,0021;0,3056;6,4447;10,3263;12,0784;1679,0;1679,0
IMA-B;2022-10-26;8528,516774;-0,1655;0,1396;6,2685;10,5385;11,9083;1674,0;1674,0
IMA-B;2022-10-27;8550,146514;0,2536;0,3936;6,538;10,4822;12,4075;1674,0;1674,0
IMA-B;2022-10-28;8562,894216;0,1491;0,5432;6,6969;11,9239;12,5827;1675,0;1675,0
IMA-B;2022-10-31;8621,599291;0,6856;1,2325;7,4284;11,4022;13,4422;1684,0;1684,0
IMA-B;2022-11-01;8620,967294;-0,0073;-0,0073;7,4205;11,6463;13,4339;1683,0;1683,0
IMA-B;2022-11-03;8604,178488;-0,1947;-0,2021;7,2113;9,3711;13,2354;1677,0;1677,0
IMA-B;2022-11-04;8601,18418;-0,0348;-0,2368;7,174;9,825;12,8456;1673,0;1673,0
IMA-B;2022-11-07;8557,65525;-0,5061;-0,7417;6,6316;9,3884;11,0533;1661,0;1661,0
IMA-B;2022-11-08;8562,36102;0,055;-0,6871;6,6902;9,3081;11,1144;1661,0;1661,0
IMA-B;2022-11-09;8555,084841;-0,085;-0,7715;6,5996;8,6933;10,587;1660,0;1660,0
IMA-B;2022-11-10;8429,33205;-1,4699;-2,2301;5,0326;7,0452;9,3391;1630,0;1630,0
IMA-B;2022-11-11;8426,567141;-0,0328;-2,2621;4,9982;6,7565;9,7169;1632,0;1632,0
IMA-B;2022-11-14;8496,887134;0,8345;-1,4465;5,8744;7,1484;10,604;1643,0;1643,0
IMA-B;2022-11-16;8448,438846;-0,5702;-2,0084;5,2707;6,8172;9,9434;1651,0;1651,0
IMA-B;2022-11-17;8450,595574;0,0255;-1,9834;5,2976;6,8785;9,8453;1648,0;1648,0
IMA-B;2022-11-18;8419,321993;-0,3701;-2,3462;4,9079;6,4249;9,7015;1637,0;1637,0
IMA-B;2022-11-21;8433,884521;0,173;-2,1773;5,0894;6,2228;10,2406;1637,0;1637,0
IMA-B;2022-11-22;8389,74846;-0,5233;-2,6892;4,5394;5,9973;9,6637;1630,0;1630,0
IMA-B;2022-11-23;8357,508446;-0,3843;-3,0631;4,1377;5,3628;9,3654;1623,0;1623,0
IMA-B;2022-11-24;8409,754758;0,6251;-2,4571;4,7887;5,759;9,7723;1633,0;1633,0
IMA-B;2022-11-25;8365,80425;-0,5226;-2,9669;4,2411;5,2694;8,8925;1625,0;1625,0
IMA-B;2022-11-28;8394,851182;0,3472;-2,63;4,603;5,48;8,374;1629,0;1629,0
IMA-B;2022-11-29;8490,648102;1,1411;-1,5189;5,7967;6,3798;9,6107;1648,0;1648,0
IMA-B;2022-11-30;8553,241126;0,7372;-0,7929;6,5766;6,8161;10,3363;1660,0;1660,0
IMA-B;2022-12-01;8528,366965;-0,2908;-0,2908;6,2666;6,8599;9,197;1651,0;1651,0
IMA-B;2022-12-02;8551,63271;0,2728;-0,0188;6,5565;6,8217;9,1631;1653,0;1653,0
IMA-B;2022-12-05;8505,618407;-0,5381;-0,5568;5,9832;5,5618;7,5707;1639,0;1639,0
IMA-B;2022-12-06;8470,63059;-0,4113;-0,9658;5,5472;5,2562;7,1282;1627,0;1627,0
IMA-B;2022-12-07;8484,012616;0,158;-0,8094;5,714;5,243;7,406;1626,0;1626,0
IMA-B;2022-12-08;8474,123234;-0,1166;-0,925;5,5908;4,7395;7,0151;1621,0;1621,0
IMA-B;2022-12-09;8450,825106;-0,2749;-1,1974;5,3004;4,4523;6,6752;1616,0;1616,0
IMA-B;2022-12-12;8402,938922;-0,5666;-1,7573;4,7038;3,3707;5,0557;1607,0;1607,0
IMA-B;2022-12-13;8380,86118;-0,2627;-2,0154;4,4287;3,4665;4,7797;1602,0;1602,0
IMA-B;2022-12-14;8377,379573;-0,0415;-2,0561;4,3853;3,5052;4,756;1600,0;1600,0
IMA-B;2022-12-15;8392,13751;0,1762;-1,8835;4,5692;3,8528;4,6337;1599,0;1599,0
IMA-B;2022-12-16;8363,087772;-0,3462;-2,2232;4,2072;3,9883;4,3215;1591,0;1591,0
IMA-B;2022-12-19;8356,0722;-0,0839;-2,3052;4,1198;4,192;3,9834;1586,0;1586,0
IMA-B;2022-12-20;8396,382995;0,4824;-1,8339;4,6221;4,557;4,485;1589,0;1589,0
IMA-B;2022-12-21;8392,717313;-0,0437;-1,8768;4,5764;4,3288;4,4363;1586,0;1586,0
IMA-B;2022-12-22;8417,769979;0,2985;-1,5839;4,8886;4,5527;4,8014;1591,0;1591,0
IMA-B;2022-12-23;8458,59517;0,485;-1,1066;5,3973;5,1937;4,9474;1599,0;1599,0
IMA-B;2022-12-26;8462,254576;0,0433;-1,0638;5,4429;5,2082;4,9241;1599,0;1599,0
IMA-B;2022-12-27;8472,037218;0,1156;-0,9494;5,5648;5,3636;5,0454;1601,0;1601,0
IMA-B;2022-12-28;8527,065087;0,6495;-0,306;6,2504;6,0652;5,7221;1609,0;1609,0
IMA-B;2022-12-29;8532,900116;0,0684;-0,2378;6,3231;6,5884;5,2255;1609,0;1609,0
IMA-B;2022-12-30;8536,599187;0,0434;-0,1946;6,3692;6,3692;5,0245;1608,0;1608,0
